statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Illinois,094,1,28829.572,5242.7871,279.19687,23373.645,13316,2300,2300,1940,16.39529854910714,15616,58423,0,10.068442,10.059364
Illinois,095,1,24033.459,3625.6121,247.21043,18876.537,6804,800,600,1940,16.39529854910714,7404,25709,.007779377,9.9236746,9.8456755
Illinois,095,0,15868.248,4323.3394,247.21043,18876.537,17105,1674,1200,1940,16.39529854910714,18305,25709,.018437123,9.3540001,9.8456755
Illinois,096,0,25600.369,5538.6274,383.86008,29599.561,1706093,46973,70609,1940,16.39529854910714,1776702,2446990,-.0096592139,9.9065695,10.295515
Illinois,096,1,35091.965,8194.5957,383.86008,29599.561,595083,50094,75205,1940,16.39529854910714,670288,2446990,-.010261996,10.199783,10.295515
Illinois,097,0,10764.191,2679.1782,177.01425,11971.399,99359,6776,8132,1940,16.39529854910714,107491,148340,-.009141162,8.9977674,9.390276
Illinois,097,1,15284.695,3162.0342,177.01425,11971.399,36617,5200,4232,1940,16.39529854910714,40849,148340,.0065255496,9.402832,9.390276
Illinois,098,1,17137.828,3590.5012,163.67357,11844.521,22438,2674,4600,1940,16.39529854910714,27038,132087,-.014581298,9.5139446,9.3796206
Illinois,098,0,10046.861,2518.8623,163.67357,11844.521,99286,5614,5763,1940,16.39529854910714,105049,132087,-.0011280444,8.9263849,9.3796206
Illinois,099,0,15699.845,3357.7024,206.77995,17679.291,63897,4600,3576,1940,16.39529854910714,67473,84845,.012069067,9.4207745,9.7801495
Illinois,099,1,25657.281,3479.1685,206.77995,17679.291,15972,2087,1400,1940,16.39529854910714,17372,84845,.0080971187,10.006861,9.7801495
Illinois,100,0,13479.68,2079.384,159.91626,15263.855,74203,5888,5406,1940,16.39529854910714,79609,102470,.0047038156,9.3413944,9.6332426
